month,comedypop,score,comscore,horscore,warscore,romscore,fanscore,9/11,payroll
"Jul, 1998",0.2,0.725789,0.653467,0.815233,,0.733185,0.62635,0,126212
"Aug, 1998",0.304348,0.477847,0.508308,0.111763,0.533457,0.683165,0.6787,0,126546
"Sep, 1998",0.240741,0.474915,0.656311,0.008666,0.769712,0.576273,0.6259,0,126744
"Oct, 1998",0.185185,0.38185,0.717947,0.026919,0.307859,0.546144,0.611293,0,126949
"Nov, 1998",0.36,0.411975,0.623088,0.00761,0.502912,0.609826,0.670926,0,127222
"Dec, 1998",0.354839,0.393935,0.7913,0.220636,0.131856,0.500945,0.573754,0,127595
"Jan, 1999",0.294118,0.328322,0.652346,0.237951,0.058109,0.648243,0.640363,0,127699
"Feb, 1999",0.292135,0.385467,0.723673,0.146851,0.105713,0.754262,0.726722,0,128117
"Mar, 1999",0.234043,0.337991,0.568077,0.068901,0.186763,0.685287,0.573269,0,128234
"Apr, 1999",0.266667,0.38376,0.744931,0.018277,0.180839,0.657574,0.543754,0,128595
"May, 1999",0.269231,0.444659,0.654872,0.124659,0.201789,0.764981,0.632596,0,128813
"Jun, 1999",0.29,0.392103,0.717562,0.032647,0.134988,0.650644,0.543474,0,129084
"Jul, 1999",0.268041,0.378658,0.743385,0.111417,0.123112,0.761018,0.555664,0,129422
"Aug, 1999",0.255102,0.460306,0.711915,0.148674,0.117845,0.741045,0.740905,0,129572
"Sep, 1999",0.207921,0.443523,0.6682,0.196116,0.166769,0.723374,0.620575,0,129771
"Oct, 1999",0.245455,0.443356,0.655338,0.157274,0.239474,0.693925,0.747156,0,130178
"Nov, 1999",0.210526,0.349574,0.660859,-0.088912,0.24167,0.773945,0.674626,0,130466
"Dec, 1999",0.213592,0.410496,0.895957,0.031723,0.20978,0.709422,0.782869,0,130783
"Jan, 2000",0.212766,0.431123,0.82029,-0.011573,0.171368,0.742033,0.62293,0,131011
"Feb, 2000",0.206522,0.520781,0.806407,0.193021,0.244311,0.856482,0.722889,0,131120
"Mar, 2000",0.207921,0.52923,0.790346,0.198085,0.207035,0.780678,0.8136,0,131604
"Apr, 2000",0.230769,0.511951,0.67508,0.328126,0.21391,0.790796,0.739814,0,131884
"May, 2000",0.193878,0.484087,0.698674,0.193996,0.186452,0.725458,0.760629,0,132105
"Jun, 2000",0.185567,0.446719,0.736115,0.268994,0.241809,0.621992,0.612396,0,132063
"Jul, 2000",0.223301,0.492614,0.776295,0.134866,0.367212,0.687912,0.783908,0,132228
"Aug, 2000",0.244898,0.511171,0.840005,0.158366,0.166067,0.782208,0.771042,0,132234
"Sep, 2000",0.240385,0.41044,0.791093,-0.034088,0.28121,0.790121,0.790888,0,132337
"Oct, 2000",0.28972,0.438681,0.726504,0.182667,0.320295,0.815443,0.701044,0,132352
"Nov, 2000",0.271845,0.415894,0.621785,0.023492,0.279835,0.80703,0.800633,0,132556
"Dec, 2000",0.224299,0.447491,0.718926,0.065753,0.248154,0.653651,0.746677,0,132716
"Jan, 2001",0.2,0.501226,0.640429,0.147564,0.313676,0.740002,0.742088,0,132703
"Feb, 2001",0.180723,0.474847,0.694118,0.182331,0.133748,0.842864,0.696714,0,132788
"Mar, 2001",0.211111,0.450043,0.691312,0.187285,0.113411,0.74483,0.790276,0,132751
"Apr, 2001",0.212121,0.433993,0.549774,0.123665,0.474316,0.703806,0.593538,0,132458
"May, 2001",0.215909,0.490499,0.828072,0.330487,0.236473,0.719553,0.486948,0,132408
"Jun, 2001",0.161616,0.399438,0.782433,-0.015425,0.149854,0.710723,0.526566,0,132300
"Jul, 2001",0.188889,0.417724,0.746219,0.052713,0.206355,0.759395,0.620155,0,132172
"Aug, 2001",0.234043,0.42715,0.716723,0.06634,0.302328,0.716992,0.554455,0,132021
"Sep, 2001",0.206522,0.505641,0.662898,0.18151,0.367982,0.762006,0.809819,1,131763
"Oct, 2001",0.216981,0.363246,0.663262,-0.078851,0.293397,0.793531,0.612815,1,131452
"Nov, 2001",0.183673,0.432577,0.715058,0.092814,0.103119,0.63923,0.610685,1,131144
"Dec, 2001",0.209524,0.39679,0.733852,0.177638,0.243146,0.494166,0.62905,1,130983
"Jan, 2002",0.236559,0.409292,0.611179,0.155538,0.176853,0.680016,0.622144,1,130859
"Feb, 2002",0.228916,0.489024,0.737378,0.105365,0.366947,0.82033,0.661653,1,130737
"Mar, 2002",0.23913,0.35711,0.660156,0.091418,0.061065,0.598893,0.554428,1,130722
"Apr, 2002",0.194444,0.449102,0.733078,0.140816,0.279536,0.592686,0.640586,1,130616
"May, 2002",0.171875,0.51543,0.852284,0.199443,0.279459,0.804467,0.654111,1,130632
"Jun, 2002",0.18543,0.450337,0.779351,0.043138,0.150597,0.80802,0.64665,1,130674
"Jul, 2002",0.150943,0.357922,0.743552,-0.015995,0.187144,0.681654,0.43258,1,130584
"Aug, 2002",0.136842,0.435202,0.727373,0.112127,0.232769,0.7789,0.804062,1,130581
"Sep, 2002",0.16,0.549135,0.784065,0.312965,0.394516,0.707778,0.591172,1,130502
"Oct, 2002",0.145,0.417202,0.722312,0.043087,0.242306,0.710614,0.691296,1,130617
"Nov, 2002",0.125,0.455658,0.626605,0.201824,0.30658,0.623567,0.791854,1,130616
"Dec, 2002",0.130435,0.476583,0.817628,0.17089,0.309058,0.831286,0.629881,1,130465
